IMAGE NAME;BRISK (s);FAST (s);HARRIS (s);MIN8VAL (s);MSER (s);SURF (s);
  Adirondack;7.230000e-01;5.000000e-02;4.230000e-01;1.450000e-01;3.350000e-01;1.160000e-01;
        ArtL;4.580000e-01;7.000000e-03;8.000000e-02;3.400000e-02;1.990000e-01;2.500000e-02;
   Australia;5.020000e-01;1.200000e-02;1.120000e-01;1.170000e-01;4.490000e-01;7.000000e-02;
  AustraliaP;4.790000e-01;6.000000e-03;1.110000e-01;1.160000e-01;4.630000e-01;6.400000e-02;
    Bicycle2;4.640000e-01;4.000000e-03;1.080000e-01;1.160000e-01;5.020000e-01;6.000000e-02;
  Classroom2;4.580000e-01;3.000000e-03;1.220000e-01;1.380000e-01;4.880000e-01;5.700000e-02;
 Classroom2E;4.500000e-01;3.000000e-03;1.090000e-01;1.170000e-01;3.950000e-01;5.500000e-02;
    Computer;4.420000e-01;2.000000e-03;2.800000e-02;3.000000e-02;2.320000e-01;1.300000e-02;
     Crusade;4.590000e-01;4.000000e-03;1.040000e-01;1.160000e-01;4.140000e-01;5.300000e-02;
    CrusadeP;4.610000e-01;4.000000e-03;1.050000e-01;1.130000e-01;4.190000e-01;5.500000e-02;
      Djembe;4.630000e-01;4.000000e-03;1.100000e-01;1.220000e-01;6.360000e-01;6.200000e-02;
     DjembeL;4.630000e-01;3.000000e-03;1.090000e-01;1.190000e-01;5.460000e-01;6.600000e-02;
       Hoops;4.660000e-01;3.000000e-03;1.120000e-01;1.180000e-01;6.290000e-01;6.600000e-02;
   Jadeplant;4.630000e-01;3.000000e-03;1.020000e-01;1.110000e-01;3.940000e-01;5.600000e-02;
  Livingroom;4.830000e-01;7.000000e-03;1.690000e-01;1.830000e-01;7.190000e-01;9.200000e-02;
  Motorcycle;5.790000e-01;5.000000e-03;1.220000e-01;1.300000e-01;1.067000e+00;9.700000e-02;
 MotorcycleE;5.430000e-01;5.000000e-03;1.570000e-01;1.400000e-01;1.357000e+00;9.800000e-02;
     Newkuba;4.920000e-01;4.000000e-03;1.420000e-01;1.760000e-01;7.610000e-01;9.500000e-02;
       Piano;4.970000e-01;6.000000e-03;1.450000e-01;1.370000e-01;2.650000e-01;7.600000e-02;
      PianoL;4.940000e-01;4.000000e-03;1.210000e-01;1.230000e-01;2.330000e-01;6.300000e-02;
       Pipes;4.860000e-01;8.000000e-03;1.230000e-01;1.320000e-01;8.220000e-01;6.600000e-02;
      Plants;4.810000e-01;4.000000e-03;1.070000e-01;1.270000e-01;7.190000e-01;7.800000e-02;
    Playroom;4.790000e-01;4.000000e-03;1.160000e-01;1.230000e-01;7.630000e-01;8.200000e-02;
   Playtable;6.140000e-01;4.000000e-03;1.660000e-01;1.220000e-01;6.300000e-01;6.600000e-02;
  PlaytableP;4.920000e-01;4.000000e-03;1.030000e-01;1.070000e-01;5.510000e-01;4.900000e-02;
     Recycle;4.450000e-01;3.000000e-03;1.230000e-01;1.180000e-01;1.790000e-01;5.500000e-02;
     Shelves;4.590000e-01;3.000000e-03;1.130000e-01;1.280000e-01;3.280000e-01;5.800000e-02;
   Staircase;5.010000e-01;4.000000e-03;1.340000e-01;1.620000e-01;1.880000e-01;5.200000e-02;
       Teddy;4.440000e-01;2.000000e-03;4.600000e-02;4.800000e-02;1.780000e-01;2.500000e-02;
     Vintage;4.560000e-01;3.000000e-03;1.060000e-01;1.160000e-01;6.150000e-01;5.400000e-02;

        AVRG;0.49;0.01;0.12;0.12;0.52;0.06;
     STD_DER;0.06;0.01;0.06;0.03;0.27;0.02;