IMAGE NAME,BRISK,FAST,HARRIS,MIN8VAL,MSER,SURF
  Adirondack,73,70,71,372,30,97
        ArtL,11,15,22,49,9,31
   Australia,73,82,170,372,34,137
  AustraliaP,122,217,278,574,41,143
    Bicycle2,154,94,134,285,58,202
  Classroom2,39,38,27,153,19,169
 Classroom2E,9,8,6,43,10,21
    Computer,33,44,65,106,51,70
     Crusade,98,110,179,251,60,159
    CrusadeP,180,214,266,383,62,184
      Djembe,215,173,193,519,110,362
     DjembeL,11,11,7,26,5,47
       Hoops,55,42,73,228,37,140
   Jadeplant,27,28,48,232,22,52
  Livingroom,142,129,122,373,46,252
  Motorcycle,252,178,199,436,117,418
 MotorcycleE,124,101,85,265,62,200
     Newkuba,115,72,91,369,58,304
       Piano,73,55,82,418,21,122
      PianoL,3,5,8,53,2,19
       Pipes,115,70,113,545,29,203
      Plants,77,48,57,102,25,158
    Playroom,190,154,226,414,50,261
   Playtable,127,77,100,216,37,200
  PlaytableP,127,101,125,248,42,205
     Recycle,40,29,54,130,21,84
     Shelves,148,97,101,386,51,225
   Staircase,4,3,20,31,0,33
       Teddy,89,76,132,343,22,148
     Vintage,107,100,88,237,100,171

        AVRG,94.43,81.37,104.73,271.97,41.03,160.57,
     STD_DER,65.56,59.58,74.62,159.06,29.50,97.85,